Year,Month,Category,Value
2022,September,Mayonnaise,285
2022,September,Ketchup,143
2022,September,Mustard,201
2022,September,Soy sauce,155
2022,September,Barbecue sauce,146
2022,October,Mayonnaise,333
2022,October,Ketchup,173
2022,October,Mustard,248
2022,October,Soy sauce,187
2022,October,Barbecue sauce,157
2022,November,Mayonnaise,280
2022,November,Ketchup,128
2022,November,Mustard,216
2022,November,Soy sauce,151
2022,November,Barbecue sauce,117
2022,December,Mayonnaise,305
2022,December,Ketchup,130
2022,December,Mustard,229
2022,December,Soy sauce,158
2022,December,Barbecue sauce,143
